Altium Designer Pick and Place Locations,,,,,,,
C:\Users\Public\Documents\Altium\IoTa Core\Project Outputs for IoTa Core\Pick Place for iotaCore.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       27/09/24,,,,,,,
Time:       12:46,,,,,,,
Revision:   a28b2a1db57b0f6d09c497ec15798c826207eb8d,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R17,Resistor 4.7k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,14.25,36.825,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R16,Resistor 4.7k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,12.675,36.825,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R13,Resistor 4.7k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,10.525,31.925,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
C13,Capacitor 10 uF +/- 0.25 uF 50 V 0603,TopLayer,CAPC1608X87X35NL15T15,10.45,25.925,0,"Chip Capacitor, 10 uF, +/- 0.25 uF, 50 V, 0603 (1608 Metric)"
B4,AP2112K-3.3TRG1,TopLayer,SOT95P270X145-5N,11.475,28.45,180,"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23"
R6,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,33.625,25.625,270,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
R5,Resistor 1k +/-1% 0603 100 mW,TopLayer,RESC1608X55X25ML10T15,27.425,25.65,270,"Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
